Title,Date,Content,Sentiment
"   
  Tata Power shares hit one-year high; stock up 14% in a month. Is more steam left?

    
    ",24 Aug 2023,"
    
    Tata Power shares hit a one-year high on Tuesday, extending their gains for the fourth straight session. The stock jumped 3 per cent to hit a 52-week high of Rs 252.75. It eventually settled 1.69 per cent higher at Rs 249.55 over its previous close of Rs 245.40. The scrip has gained 13.83 per cent in the past one month. It has ascended by 25.06 per cent in six months and 17.91 per cent in 2023 so far.

Today's fresh upward move came after Tata Power said it has entered into a pact with Zoomcar. ""Tata Power EV Charging Solutions Limited (TPEVCSL), a Tata Power group Company, and Zoomcar, a leading marketplace for car sharing, have entered into a Memorandum of Understanding (MoU) to promote widespread electric vehicle adoption and deliver a seamless, user-friendly charging experience to EV users nationwide,"" the company stated in an exchange filing.

This collaboration aims to promote Tata Power's EZ Charge points on the Zoomcar platform and would focus on supporting existing and aspiring EV owners along with Zoomcar's existing customers, it mentioned.

The company also said it aims to establish 25,000 charging points in the next five years, bolstering the national EV ecosystem and driving sustainable mobility growth.

In a separate development, Tata Power said Hemant Bhargava, non-executive, non-independent director, has stepped down from the Board of Directors of the company with effect from August 23, 2023.

On the earnings front, the Tata Group firm reported a 22.40 per cent year-on-year (YoY) rise in consolidated net profit for the quarter ended June 2023 (Q1 FY24) to Rs 972.49 crore. Consolidated revenue from operations grew around 5 per cent to Rs 15,213.29 crore (YoY).

Brokerage view

""Management plans to scale up RE capacity to 15.0GW by FY25 from the current 4.1GW; increase focus on the power distribution business; and seize opportunity in the solar EPC business. We retain our positive stance and reiterate 'Buy' for a target price of Rs 272,"" Elara Capital stated.

""FY23 was a record year for windfall gains in coal for Tata Power. In FY24, that trend is unlikely to repeat itself. For instance, the company has made up for the loss in coal profit through a strong revival in Odisha DISCOMs; an increase in RE assets contributing to higher EBITDA; and a favorable order in Maithon. The benefits of a diversified portfolio are playing out, with EBITDA - even in an adverse scenario - showing resilience. We maintain 'Buy' at a target price of Rs 275,"" Antique Stock Broking said.

Technical view

The counter traded higher than the 5-day, 10-, 20-, 30-, 50-, 100-, 150-, and 200-day simple moving averages (SMAs). The counter's 14-day relative strength index (RSI) came at 68.89. A level below 30 is defined as oversold while a value above 70 is considered overbought. The company's stock has a price-to-equity (P/E) ratio of 24.20 against a price-to-book (P/B) value of 5.82.

The scrip has an analyst target price of Rs 225, Trendlyne data showed, suggesting a potential downside of 10 per cent. It has a one-year beta of 1, indicating average volatility on the counter.
    




    ",
"   
  Buzzing Stocks: HDFC Bank, Jio Financial Services, ICICI Securities, Tata Power, others in news

    
    ",17 Oct 2023,"
    
    Tata Power: Subsidiary Tata Power Renewable Energy has signed a power delivery agreement (PDA) with auto component manufacturer Endurance Technologies through a special purpose vehicle (SPV) TP Green Nature for the development of a 12.5 MW AC captive solar plant. The plant will be set up at Aachegaon in Maharashtra and will generate 27.5 million units (MUs) of electricity every year. This will help reduce Endurance Technologies' carbon footprints and mitigate approximately 9,125 metric tonnes (MT) of carbon emissions annually. The project is expected to be completed within 12 months of the signing of the PDA.
    




    ",
"   
 Tata Power stock likely to remain subdued in near-term; here's why

    
    ",12 Feb 2024,"
    
    The article from Business Standard states that Tata Power's stock is likely to remain subdued in the near term due to profit-taking by investors after a recent rally. The stock has gained over 14% in the past month, outperforming the benchmark indices. The article suggests that investors may book profits, leading to a short-term downward trend. However, the long-term outlook remains positive due to the company's strong fundamentals and growth prospects. The stock may see resistance at higher levels, and investors are advised to remain cautious in the near term.




    ",
"   
India's Tata Power posts 15% jump in Q4 profit on robust demand

    
    ",08 May 2024,"
    
   BENGALURU (Reuters) - India's Tata Power reported a jump in fourth-quarter profit on Wednesday, helped by strong energy demand amid heatwaves and growing economic activity in the country.

The company reported a consolidated net profit of 8.95 billion rupees ($107.2 million), up around 15% from last year.

Analysts had said energy firms such as Tata Power, NTPC and Power Grid would likely announce consistent fourth-quarter earnings as the sector stood to gain from increasing thermal and renewable energy capacity.

Searing heatwaves and an uptick in economic activity have resulted in India's electricity generation growing at an average of about 8% annually following the pandemic year of 2020/21, outpacing power demand growth in every major global economy.

The company's transmission and distribution segment, which brings in the lion's share of revenue, grew 8.80% to 90.25 billion rupees, while its generation segment clocked in a growth of 68%.

Overall revenue from operations climbed 27% to 158.47 billion rupees. The company also recommended a final dividend of 2 rupees per share for the financial year 2024.

Its total expenses rose about 24% to 156.91 billion rupees, led mainly by a near two-fold surge in fuel costs.

Shares of Tata Power closed lower at 0.3% on Wednesday ahead of results. The stock has climbed about 18% in the reporting quarter, outperforming a 16.6% rise in the Nifty Energy index.

($1 = 83.4941 Indian rupees)




    ",
"   
Tata Power Outlook for the Week (March 11, 2024 – March 15, 2024)

    
    ",08 Mar 2024,"
    Tata Power closed the previous week on a negative note losing 12.25%.
Technically, Tata Power share price will see immediate support at 392.53 and immediate resistance would be seen at 445.63.

If Tata Power share price closes below immediate support of 392.53, then sharp breakdown can be seen. Tata Power share price will see major support at 359.82 for the week. On the positive side, immediate resistance will be seen at 445.63. Closing above 445.63, Tata Power share price will see a sharp breakout. Major resistance for Tata Power share price will be seen at 466.02 for the week.

Trading range for Tata Power share price for this week should be between 339.43 on down side and 498.73 on up side.

Tata Power Previous Week High: 433.3

Tata Power Previous Week Low: 380.2

Tata Power Previous Week Range: 53.1 Points

Tata Power share price support and resistance for the week (March 11, 2024 – March 15, 2024) 
Level Type	Value
Resistance 3	498.73
Resistance 2	466.02
Resistance 1	445.63
Support 1	392.53
Support 2	359.82
Support 3	339.43
   




    ",
"   
We are on track to grow very quickly next year and in subsequent years: Tata Power CEO
    
    ",10 May 2024,"
    The company plans to invest nearly Rs 20,000 crore in FY25, of which half will be on renewable energy, with the rest divided between generation and pump hydro.Tata Power Company’s initiatives and investments across businesses in the last 12 months will start showing results in the next 12-18 months, says Managing Director and Chief Executive Praveer Sinha.

In the last four years, the company has invested Rs 40,000 crore to build capacity and plans to invest another Rs 20,000 crore in FY25 alone. Almost half of this will be in renewable business.

In an exclusive interview with Moneycontrol, Sinha talks about the company’s growth plans and how it will finance the growth.

Edited excerpts follow:Q. FY24 witnessed strong power demand—it's been over 10% in the last two months. Help me understand how that has translated into numbers for you?  This is the 18th consecutive quarter of profit growth that we have seen. In the last three years, there has been a huge increase in power demand. In the last two months, demand has grown upwards of 10% and I expect that this year also there will be a huge increase in power demand. There are three reasons for this: a pickup in industrial activity, more commercial activity, and heat-wave conditions. More air-conditioning usage is taking place even in tier 2 and tier 3 cities.

We also see that affordability has improved and more power is being utilised. There has been a general increase in power consumption and Tata Power has benefited from this by setting up more capacity—a lot of capacity addition has happened and more is lined up this year and in subsequent years. In fact, we have 4.5 gigawatts (GW) of operating assets in renewable and another 5.5 GW is under implementation, which will get completed in the next 24 months.

To cater to the renewable energy capacity, more transmission lines are coming and Tata Power has won two bids recently and two last year. All four projects are under implementation. As more renewable energy capacity is added, more transmission facilities have to be created and Tata Power will play a very active role in that.

In power distribution, operations in Odisha have stabilised. In fact, with the stabilisation of the network and better quality of service, consumption has increased.

Q. Tata Power is evolving from being a power generation company to having a more diversified portfolio with transmission, distribution and even manufacturing. How was the performance of the different businesses in FY24 and what do you expect in FY25?

In FY24, the main businesses—generation, transmission, distribution and renewables—have stabilised. We saw excellent performance from our generation business and they continue to improve every year in terms of availability and operational parameters and efficiencies. Similarly, in transmission, we see all our networks operating very well and a lot of capacity addition has taken place in Mumbai, where we keep on improving the network.

We also see that the renewable businesses have started doing very well. The 4 GW manufacturing facility has been set up. The modules plant is fully operational and has started supplying. The cell plant will get operational next month and we expect that it will reach full capacity by September. For many of the things that we have done in the last 12 months, the results will start showing in the next 12 to 18 months.

In Odisha Discom, there were initially a lot of hiccups but the discom has been making profits. (Note: Between 2020 and 2021, Tata Power won the bid to manage operations of all four Odisha discoms, in a public-private partnership model). We expect this profit to improve in the subsequent years. I think you would see that the company and all its businesses have virtually stabilised and will improve with more capacity addition, which will happen in renewables, as well as in transmission and distribution.

We are quite gung-ho about the fact that we are on a track to grow very quickly next year and in subsequent years. I think you will see an excellent performance from Tata Power.

Q. Last year you said that you have an ambitious plan to invest Rs 60,000 crore over the next three years. How much of this has been done and can you share the plans for the current fiscal year and next?

In the last four years, we have already invested Rs 40,000 crore. In the last financial year, we invested Rs 12,000 crores in various businesses. This financial year, in FY25, we have a target to invest nearly Rs 20,000 crore, out of which nearly 50% is in the renewables business.

In our transmission and distribution businesses in Delhi, Mumbai and Odisha, new capital investment will be done to improve the network and technology. Similarly, in renewable projects, a lot of capacity additions are being planned.

We will be getting ready not only for those projects that get implemented in FY25 but also the initial work that needs to be carried out for projects that will be implemented in FY25. So, there is a very ambitious plan to invest Rs 20,000 crore this year (FY25) and Rs 60,000 crore over four years. And we would continue to see the same type of investment happening as we move forward year on year.

Q. You have a lot of debt and you need to finance your big investment plans. What is the debt situation right now and how do you plan to raise funds to finance growth?

If you see our performance in the last four years, from a debt-to-equity ratio of 3.5, we have now come to 1.1. Our net debt is only Rs 38,000 crore in spite of Rs 40,000 crore that we have invested in the last 4 years. That means that we are generating very good EBITDA in cash in the company, which is used to a large extent to repay the old debt and also to fund capital. And of course, we will continue to take some new debt for the new investment.

And even with the new investment that we have planned, we will be in a very, very safe zone as far as debt-equity or debt-EBITDA is concerned. And typically, for infrastructure projects, these are much higher. Our focus is that we generate more of the cash from the new investments so that we can use it for future investments for the growth of the company.

Q. Is there scope for more improvement in the Odisha discom operations? 

We have been able to clean up a lot of things that were there regarding giving and collection. That has helped us now reach a level whereby you will see that for subsequent years, the profit will be substantially higher than it was. We expect that the benefit of the new technology or the investment in the network and in personal service will get translated into a better performance by the company going forward. The best is yet to come; in FY25 and FY26, we will see much more improvement than in the previous year.

Q. Are you looking at more discom opportunities?

Absolutely, I am looking at all the states. I do expect that multiple suppliers of electricity will happen. Some of these states might go for a similar model as Odisha's technology model seeing the success and turnaround of the operations; it’s a win-win for everyone. I expect that out of these 27 states and the union facilities that are not under a private distribution arrangement, many will go for similar arrangements and I am very confident that Tata Power will play a very significant role in this.


Q. The Mundra plant continues to operate under Section-11, which was imposed by the government. This allows full passthrough of fuel costs. But what after Section 11 is lifted? What’s the update on the supplementary power purchase agreements (PPAs) that you have to sign with states? (Note: Section 11 of the Electricity Act states that in extraordinary circumstances, the government can ask power generating companies to operate and maintain output in accordance with its directions).
The Mundra Plant has been operating under Section 11 and it has been able to supply power to all the beneficiary states. The power continues to be one of the lowest in all the power procurement being done. In the merit order, it is still very efficient and all the beneficiary states continue to schedule power from this, even under Section 11. And that goes to prove the efficiency of the Mundra Plant. Going forward, a solution has to be found, something that is similar to the Section 11 solution. We are in discussions, but as you know, Section 11 has been extended to October 14. And I am sure at the right place or right time, we will be able to conclude an amendment that is acceptable to all the states.

Q. This is the second year that we are operating under Section 11. Has this become the new normal; do you see the government extending this in future as well?

That’s a call the government has to take. The government enforces Section 11. As far as we are concerned, the plant is always ready to operate, but it has to be cost effective.

Q. Tata Power now has different businesses. What are the value unlocking opportunities here?

There are a lot of synergies. When we talk of 4 GW manufacturing capacity, the majority will be used internally for our captive, rooftop projects and a very small quantity will be sold in the market. This gives us certainty both in terms of the price as well as the quality of the panels or solar modules that will be supplied. The second thing is that these are bundled solutions. If today we have to give 24x7 renewable power, the pump hydro comes from the generation business. The transmission and distribution knowledge of how to schedule power and how to supply 24x7 comes from our distribution business. We need to look at them in totality rather than looking at them in silos or in a segmented way. And I think this is the strength of Tata Power. We are able to provide comprehensive solutions and not just standalone energy.

Q. Your renewable energy arm raised funds but is there a plan for a potential listing of the subsidiary at some stage?

It is too premature. Let us first go ahead and implement all these projects. We will take a call at the right time.

 
   




    ",
"   Tata Power Outlook for the Week (March 18, 2024 – March 22, 2024)

    
    ",15 Mar 2024,"
    ata Power closed the previous week on a negative note losing 13.27%.
Technically, Tata Power share price will see immediate support at 357.03 and immediate resistance would be seen at 412.98.

If Tata Power share price closes below immediate support of 357.03, then sharp breakdown can be seen. Tata Power share price will see major support at 333.32 for the week.
   
On the positive side, immediate resistance will be seen at 412.98. Closing above 412.98, Tata Power share price will see a sharp breakout. Major resistance for Tata Power share price will be seen at 445.22 for the week.

Trading range for Tata Power share price for this week should be between 301.08 on down side and 468.93 on up side.

Tata Power Previous Week High: 421.5

Tata Power Previous Week Low: 365.55

Tata Power Previous Week Range: 55.95 Points

Tata Power share price support and resistance for the week (March 18, 2024 – March 22, 2024)

Level Type	Value
Resistance 3	468.93
Resistance 2	445.22
Resistance 1	412.98
Support 1	357.03
Support 2	333.32
Support 3	301.08



    ",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 06:30:47 PM IST","Today,Tata Powerstock closed at₹392.1, which represents a 3.22% increase from the previous day's closing price of₹379.85. The net change in price was₹12.25. Overall, Tata Power stock showed positive movement and gained value.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 06:16:40 PM IST",No Content Available,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 05:30:44 PM IST",Tata Power stock's today low price was₹384.4 and the high price was₹394.25.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 03:23:07 PM IST",Tata Power's spot price is 392.65 with a bid price of 393.9 and an offer price of 394.1. The offer quantity is 13500 and the bid quantity is 6750. The open interest stands at 66143250. Investors can track these key data points to make informed decisions about trading Tata Power stocks.Disclaimer :The futures data is at a delay of 15 minutes,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 03:16:23 PM IST",Tata Power Company Ltd stock has a 52-week low price of 182.35 and a 52-week high price of 433.30. This data indicates a significant range within which the stock has traded over the past year.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 03:00:52 PM IST","The current data for Tata Power stock shows that the price is at₹392.25, with a percent change of 3.26 and a net change of 12.4. This indicates that the stock has experienced a significant increase in value.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 02:40:03 PM IST",Top active call options for Tata Power at 21 Mar 14:40 were at strike price of₹400.0 (Expiry : 28 MAR 2024) &₹390.0 (Expiry : 28 MAR 2024) with prices₹3.15 (+96.88%) &₹6.45 (+98.46%) respectively.Top active put options for Tata Power at 21 Mar 14:40 were at strike price of₹390.0 (Expiry : 28 MAR 2024) &₹380.0 (Expiry : 28 MAR 2024) with prices₹4.75 (-62.45%) &₹1.75 (-72.66%) respectively.Disclaimer:The Futures & Options data is at a delay of 15 minutes.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 02:20:57 PM IST","The current stock price ofTata Poweris₹390.55, representing a 2.82% increase. The net change is 10.7 points.Click here forTata Power Shareholdings",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 02:10:44 PM IST",Tata Power stock's price fluctuated between a low of₹384.4 and a high of₹393.25 on the current day.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 02:01:56 PM IST",Tata Power is currently trading at a spot price of 391.25 with a bid price of 392.2 and an offer price of 392.35. The offer quantity stands at 6750 while the bid quantity is 3375. The stock has an open interest of 66234375.Disclaimer :The futures data is at a delay of 15 minutes,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 01:41:38 PM IST","Tata Power stock is currently priced at₹390.95, which represents a 2.92% increase in value. The net change in price is 11.1 points.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 01:41:06 PM IST","As per the Technical Analysis, short term trend of Tata Power share is Neutral and long term trend is Bullish",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 01:22:25 PM IST",Top active call options for Tata Power at 21 Mar 13:22 were at strike price of₹390.0 (Expiry : 28 MAR 2024) &₹400.0 (Expiry : 28 MAR 2024) with prices₹6.45 (+98.46%) &₹3.15 (+96.88%) respectively.Top active put options for Tata Power at 21 Mar 13:22 were at strike price of₹390.0 (Expiry : 28 MAR 2024) &₹380.0 (Expiry : 28 MAR 2024) with prices₹5.0 (-60.47%) &₹1.9 (-70.31%) respectively.Disclaimer:The Futures & Options data is at a delay of 15 minutes.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 01:12:36 PM IST",Tata Power stock reached a low of₹384.4 and a high of₹393.25 during the current trading day.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 01:03:00 PM IST","The current price ofTata Powerstock is₹390.75, with a percent change of 2.87 and a net change of 10.9. This indicates that the stock has increased by 2.87% and has gained 10.9 points.Click here forTata Power Board Meetings",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 12:42:25 PM IST","Tata Power is currently trading at a spot price of 390.85 with a bid price of 391.5 and an offer price of 391.65. The bid quantity and offer quantity stand at 3375 each, indicating a strong demand. The stock has a high open interest of 66,251,250, reflecting significant market interest and potential for price movement.Disclaimer :The futures data is at a delay of 15 minutes",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 12:23:04 PM IST","Tata Power stock is currently trading at₹390.2, which is a 2.72% increase from the previous trading session, with a net change of 10.35.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 12:11:22 PM IST",Tata Power stock traded at a low of₹384.4 and a high of₹393.25 on the current day.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 12:02:54 PM IST",Top active call options for Tata Power at 21 Mar 12:02 were at strike price of₹390.0 (Expiry : 28 MAR 2024) &₹400.0 (Expiry : 28 MAR 2024) with prices₹6.55 (+101.54%) &₹2.95 (+84.38%) respectively.Top active put options for Tata Power at 21 Mar 12:02 were at strike price of₹390.0 (Expiry : 28 MAR 2024) &₹380.0 (Expiry : 28 MAR 2024) with prices₹4.8 (-62.06%) &₹1.75 (-72.66%) respectively.Disclaimer:The Futures & Options data is at a delay of 15 minutes.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 11:42:16 AM IST","The current data for Tata Power stock shows that the price is₹390.8 with a percent change of 2.88, resulting in a net change of 10.95. This indicates a positive movement in the stock price.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 11:20:45 AM IST","Tata Power's spot price is 392.55, with a bid price of 393.2 and an offer price of 393.3. The offer quantity is 3375, and the bid quantity is 6750. The open interest stands at 66,693,375. Investors can keep an eye on Tata Power for potential trading opportunities in the market.Disclaimer :The futures data is at a delay of 15 minutes",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 11:11:56 AM IST",Tata Power stock reached a high of₹393.25 and a low of₹384.4 on the current trading day.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 11:00:45 AM IST","The current data of Tata Power stock shows that the price is₹392, with a percent change of 3.2% and a net change of 12.15.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 10:41:45 AM IST",Top active call options for Tata Power at 21 Mar 10:41 were at strike price of₹390.0 (Expiry : 28 MAR 2024) &₹400.0 (Expiry : 28 MAR 2024) with prices₹6.8 (+109.23%) &₹3.25 (+103.13%) respectively.Top active put options for Tata Power at 21 Mar 10:41 were at strike price of₹380.0 (Expiry : 28 MAR 2024) &₹390.0 (Expiry : 28 MAR 2024) with prices₹1.8 (-71.88%) &₹5.1 (-59.68%) respectively.Disclaimer:The Futures & Options data is at a delay of 15 minutes.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 10:22:07 AM IST","Tata Powerstock is currently priced at₹391.6, showing a percent change of 3.09 and a net change of 11.75. This indicates a positive movement in the stock price, reflecting potential growth and investor interest in the company.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 10:12:36 AM IST",Tata Power stock's price ranged from a low of₹384.4 to a high of₹390.5 on the current day.,
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 10:01:44 AM IST","Tata Power is currently trading at a spot price of 388.5 with a bid price of 389.05 and an offer price of 389.15. The bid and offer quantities are both at 3375. The open interest for Tata Power stands at 67,729,500 shares, indicating a high level of investor interest in the stock.Disclaimer :The futures data is at a delay of 15 minutes",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 09:42:11 AM IST","Today, Tata Power stock is priced at₹389.85, experiencing a 2.63% increase in value. This translates to a net change of 10 points.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 09:01:39 AM IST","Today, Tata Power stock is priced at₹379.85 with a decrease of 0.85% and a net change of -3.25.",
"Tata Power share price Live :Tata Power closed today at ₹392.1, up 3.22% from yesterday's ₹379.85","21 Mar 2024, 08:01:01 AM IST","On the last day, Tata Power's BSE volume was 676,998 shares with a closing price of₹383.1.",
Tata Power share price Live : Shareholding information,"13 May 2024, 08:01:38 PM IST",Tata Power has a 9.61% MF holding & 9.44% FII holding as per filings in the march quarter.The MF holding has decreased from 10.48% in december to 9.61% in march quarter.The FII holding has decreased from 9.85% in december to 9.44% in march quarter.,
Tata Power share price Live : Shareholding information,"13 May 2024, 07:37:59 PM IST","Tata Power's return on equity (ROE) was 12.09% in the latest fiscal year, with a return on investment (ROI) value of 4.99% in the same period. Analysts predict ROE to be around 11.56% in the current fiscal year and 12.05% in the upcoming fiscal year.",
Tata Power share price Live : Shareholding information,"13 May 2024, 07:00:11 PM IST","Tata Power has shown an EPS growth of 51.54% and a revenue growth of 23.70% over the last 3 years. In the trailing twelve months, the company's revenue was 614489.00 cr, which is slightly higher than the revenue of the most recent fiscal year. The company is predicted to have a revenue growth of 28.59% and a profit growth of 11.44% in the upcoming quarter 4.",
Tata Power share price Live : Shareholding information,"13 May 2024, 06:36:06 PM IST","The analyst recommendation trend is shown below with the current rating as Sell.The median price target is₹308.0, 25.12% lower than current market price.The lowest target price among analyst estimates is₹230.0The highest target price among analyst estimates is₹471.6These target price estimates are for the next 1 year.",
Tata Power share price Live : Shareholding information,"13 May 2024, 06:09:45 PM IST","Today, Tata Power's stock price dropped by 0.83% to reach₹411.3, while its industry counterparts are experiencing a mixed performance. Adani Green Energy, Adani Power, and NHPC are witnessing a decline, whereas Adani Energy Solutions is showing an upward trend. In general, the benchmark indices Nifty and Sensex are down by 0.22% and 0.15%, respectively.",
Tata Power share price Live : Shareholding information,"13 May 2024, 05:37:46 PM IST","Tata Power stock's price fluctuated during the day, hitting a low of₹396.5 and a high of₹415.",
Tata Power share price Live : Shareholding information,"13 May 2024, 04:37:56 PM IST",A decrease in futures price and an increase in open interest for Tata Power indicate a potential for negative price movement in the upcoming days. Traders may consider maintaining their short positions.,
Tata Power share price Live : Shareholding information,"13 May 2024, 03:54:06 PM IST","Tata Powershare price closed the day at₹411.3 - a 0.83% lower than the previous closing price. For the next trading session key resistances to watch for are 419.08 , 426.62 , 437.88. On the other hand key support levels could be found at 400.28 , 389.02 , 381.48.Please note these support and resistance levels are derived from the classic pivot table.",
Tata Power share price Live : Shareholding information,"13 May 2024, 03:47:40 PM IST","The volume traded of Tata Power until 3 PM is 16.79% higher than yesterday, with the price trading at₹411.3, showing a decrease of -0.83%. Volume traded, in conjunction with price, is a key indicator for analyzing trends. A positive price trend accompanied by higher volume indicates a sustainable upward movement, while a negative price trend with increased volume may signal a potential further decline in prices.",
Tata Power share price Live : Shareholding information,"13 May 2024, 03:20:19 PM IST",Tata Power share price is at₹412.15 and is still trading between the key support and resistance levels of₹406.68 and₹420.78 on a daily timeframe. If it crosses the support of₹406.68 then we can expect a further bearish movement. On the other hand if the price crosses 420.78 then it will lead to a bullish movement.,
Tata Power share price Live : Shareholding information,"13 May 2024, 03:02:07 PM IST","As per the Technical Analysis, short term trend of Tata Power share is Bearish and long term trend is Bullish",
Tata Power share price Live : Shareholding information,"13 May 2024, 02:49:17 PM IST","The volume of Tata Power traded until 2 PM is 18.81% higher than yesterday, while the price is trading at₹411.35, up by -0.82%. Analyzing both volume and price is crucial for understanding trends. A positive price movement accompanied by higher volume indicates a sustainable upward trend, whereas a negative price movement with higher volume could suggest a potential further decline in prices.",
Tata Power share price Live : Shareholding information,"13 May 2024, 02:34:26 PM IST","Tata Power reached a peak of 411.2 and a low of 402.55 in the prior trading hour. During the last hour, the stock surpassed all hourly resistance levels, suggesting strong upward momentum. Traders should monitor for potential overbought conditions in the hourly timeframe and consider adjusting stop losses accordingly.The hourly support and resistance levels to watch out in the next hour are mentioned below.",
Tata Power share price Live : Shareholding information,"13 May 2024, 02:17:49 PM IST","The analyst recommendation trend is shown below with the current rating as Sell.The median price target is₹308.0, 24.91% lower than current market price.The lowest target price among analyst estimates is₹230.0The highest target price among analyst estimates is₹471.6These target price estimates are for the next 1 year.",
Tata Power share price Live : Shareholding information,"13 May 2024, 02:02:57 PM IST",Tata Power share price is at₹407.65 and is still trading between the key support and resistance levels of₹406.68 and₹420.78 on a daily timeframe. If it crosses the support of₹406.68 then we can expect a further bearish movement. On the other hand if the price crosses 420.78 then it will lead to a bullish movement.,
Tata Power share price Live : Shareholding information,"13 May 2024, 01:54:49 PM IST","The volume of Tata Power traded until 1 PM is 10.21% higher than yesterday, while the price is trading at₹408, showing a decrease of -1.63%. Volume traded is a crucial indicator, along with price, for analyzing trends. A positive price movement accompanied by higher volume indicates a sustainable upward trend, whereas a negative price movement with higher volume could signal a further decline in prices.",
Tata Power share price Live : Shareholding information,"13 May 2024, 01:42:53 PM IST","The stock price has been moving between 407.13 and 403.53 levels in the past hour. Traders may want to consider rangebound trading strategies, such as buying near the hourly support at 403.53 and selling near the hourly resistance at 407.13.The hourly support and resistance levels to watch out in the next hour are mentioned below.",
Tata Power share price Live : Shareholding information,"13 May 2024, 01:11:15 PM IST",The decrease in futures price and increase in open interest for Tata Power may indicate potential downward price movement in the near future. Traders are advised to consider maintaining their short positions.,
Tata Power share price Live : Shareholding information,"13 May 2024, 01:02:33 PM IST",Tata Power stock's price fluctuated between a low of₹396.5 and a high of₹415 on the current day.,
Tata Power share price Live : Shareholding information,"13 May 2024, 12:45:08 PM IST","The volume of Tata Power traded until 12 AM has increased by 8.98% compared to yesterday, while the price is currently trading at₹406.95, showing a decrease of -1.88%. Volume traded, in combination with price, is a crucial factor for analyzing trends. A positive price trend accompanied by higher volume indicates a sustainable upward movement, whereas a negative price trend with increased volume could signal further price declines.",
Tata Power share price Live : Shareholding information,"13 May 2024, 12:36:31 PM IST","Tata Power reached a peak of 406.4 and a trough of 402.8 in the preceding trading hour. During the last hour, the stock price surpassed the hourly resistance level of 405.5 (Resistance level 1), suggesting a bullish trend.The hourly support and resistance levels to watch out in the next hour are mentioned below.",
